survey,approach,benford,stigler,uniform,contaminated_benford,generalized_benford,rodriguez,hurlimann
ВНДН,фрекв.,0/10,0/10,0/10,0/10,0/10,0/10,0/10
ВНДН,байез.,0/10,0/10,0/10,0/10,0/10,1/10,1/10
ВОДПФ,фрекв.,0/5,0/5,0/5,0/5,0/5,0/5,0/5
ВОДПФ,байез.,0/5,1/5,0/5,0/5,0/5,2/5,0/5
РМЭЗ,фрекв.,1/27,0/27,0/27,1/27,4/27,6/27,3/27
РМЭЗ,байез.,10/27,6/27,0/27,10/27,12/27,18/27,12/27
ФИНМОН,фрекв.,0/8,0/8,0/8,0/8,0/8,0/8,0/8
ФИНМОН,байез.,0/8,2/8,0/8,0/8,0/8,2/8,0/8
RCVS,фрекв.,0/1,0/1,0/1,0/1,0/1,0/1,0/1
RCVS,байез.,0/1,0/1,0/1,0/1,0/1,0/1,0/1
SIPP,фрекв.,0/3,0/3,0/3,0/3,0/3,0/3,0/3
SIPP,байез.,0/3,0/3,0/3,0/3,0/3,0/3,0/3
EUSILC,фрекв.,0/10,0/10,0/10,0/10,0/10,0/10,0/10
EUSILC,байез.,0/10,0/10,0/10,0/10,0/10,0/10,0/10
